TILEID,LASTNIGHT,FIBER,CLUSTER
41972,20221226,4912,2
23734,20230107,4507,0
23734,20230107,4733,0
23547,20220523,3448,0
3568,20240108,3448,0
24742,20230402,4507,0
24742,20230402,4733,0
7394,20230906,466,0
21451,20211115,466,0
26012,20231230,4733,0
5958,20230414,4738,0
22700,20220314,3448,0
8949,20221126,4891,0
42560,20221126,466,0
25602,20220611,4733,0
23877,20240302,466,0
24037,20220503,4733,0
42020,20230922,3448,0
21984,20220514,4738,0
21984,20220514,4849,0
20656,20220607,4738,0
1823,20210616,651,0
9271,20220109,357,0
8187,20211128,4912,0
83410,20231004,651,0
23837,20230108,2171,0
22844,20231022,4912,0
25781,20230331,4912,0
2280,20211013,651,0
4356,20230618,4891,0
5527,20240203,3448,0
24205,20230228,2171,0
21653,20230922,4923,0
40826,20230815,4912,0
42730,20240409,3448,-1
42570,20231029,4891,0
42570,20231029,4912,0
10624,20220326,4507,0
22632,20230509,4733,0
22632,20230509,4912,0
8802,20220402,4738,0
3666,20240311,3448,0
25856,20220513,3448,0
20736,20210620,4738,0
20736,20210620,4891,0
25823,20220213,466,0
23795,20230209,2171,0
8770,20231008,2171,0
40730,20230814,2171,0
11766,20221026,3448,0
24974,20220307,4507,0
4574,20221222,4507,0
81065,20210327,466,0
3824,20211109,4912,0
1538,20231103,4923,0
4830,20211104,3448,0
20480,20221209,651,0
22753,20220509,3448,0
22516,20221105,4507,0
22516,20221105,4923,0
22223,20220607,4738,0
1525,20231019,2171,0
41765,20230422,466,0
24599,20231228,3448,0
23641,20220612,651,0
25943,20211216,4733,0
21112,20230331,4891,0
6681,20240102,466,0
3836,20231003,466,0
10972,20221004,357,0
7072,20230208,4923,0
81110,20210513,4733,-1
25039,20211119,357,0
2276,20231015,4738,0
2276,20231015,4912,0
2276,20231015,4923,0
22025,20230316,651,0
23788,20230308,466,0
4244,20230421,4912,0
41761,20211217,651,0
21488,20211219,4738,0
21488,20211219,4891,0
40492,20220418,4733,-1
20128,20230402,466,0
83023,20231101,357,0
40961,20220319,4891,0
11225,20230919,466,0
42226,20231228,4507,0
42226,20231228,4738,0
42226,20231228,4923,1
9845,20231110,4891,0
20428,20210523,4733,0
20428,20210523,4849,0
20428,20210523,4912,0
11254,20230620,2171,0
80664,20210402,4849,0
22259,20221013,466,0
23445,20220923,466,0
11415,20230816,4891,0
23667,20221219,2171,0
25350,20220218,651,0
22627,20230506,2171,0
4373,20230524,4507,0
21607,20230112,651,0
22336,20220414,4733,0
22336,20220414,4738,0
22336,20220414,4912,0
23743,20220218,4738,0
40871,20231209,4738,0
22251,20211026,4733,0
22251,20211026,4912,0
6361,20240129,466,0
41240,20231001,357,0
1376,20211208,4849,0
6901,20220604,3448,0
24567,20211212,3448,0
11757,20211204,4891,0
42626,20230111,3448,0
20636,20220509,4891,0
40573,20230505,3448,-1
25796,20230312,2171,0
3358,20231210,2171,0
25230,20211021,651,0
10121,20221115,4912,0
83413,20231009,4849,0
5238,20230328,4923,0
41099,20230511,4733,0
40447,20230604,4912,0
22175,20230502,3448,0
80656,20210202,4891,0
6355,20220421,3448,0
5683,20220401,4733,0
5683,20220401,4912,0
42321,20230604,3448,0
24024,20230509,357,0
24096,20231029,4507,0
24096,20231029,4849,0
25115,20220523,4923,0
24984,20220313,2171,0
22695,20221223,4507,0
22695,20221223,4923,0
82641,20220419,4849,0
20860,20231004,4923,0
11852,20231004,651,0
23632,20230406,466,0
23741,20220121,2171,0
21839,20220212,4923,0
7210,20211215,4733,0
20541,20221206,4507,0
9945,20220424,4849,0
23548,20220405,4733,0
21975,20220518,466,0
27335,20231119,4891,0
1894,20210617,4507,0
6307,20221214,4891,0
23723,20220304,4891,0
22069,20230226,2171,0
1731,20210519,4738,0
21829,20220516,3448,0
21895,20240301,4507,0
21895,20240301,4733,0
80949,20210425,4738,0
21694,20220207,2171,0
22764,20230128,466,0
11424,20231004,4923,0
528,20210506,4738,0
3326,20220420,4733,0
25513,20211016,357,0
25513,20211016,466,0
21294,20211022,4912,0
22764,20230128,651,0
23774,20220119,357,0
21194,20210521,651,0
25378,20221104,4891,0
42641,20220313,2171,0
20171,20231005,357,0
40913,20240301,4891,0
40913,20240301,4923,0
7040,20220108,4891,0
25399,20220923,4891,0
